"","RMSE.Bn.Engerer2","RMSE.Bn.Starke2","RMSE.Bn.Starke3","RMSE.Bn.Yang4","RMSE.Bn.Yang5","MBE.Bn.Engerer2","MBE.Bn.Starke2","MBE.Bn.Starke3","MBE.Bn.Yang4","MBE.Bn.Yang5"
"1",15.97,16.83,15.33,13.3,13.58,-2.24,5.46,-1.77,-0.83,1.37
"2",25.09,32.72,27.41,26.92,21.53,11.19,25.64,20.73,13.91,8.19
"3",14.67,14.68,14.55,12.94,12.31,-2.88,6.27,4.12,-0.85,0.6
"4",10.88,10.54,9.64,8.51,8.69,-5,3.11,0.02,-1.98,-1.19
"5",12.08,10.68,9.97,9.83,9.39,-5.6,2.45,-0.5,-3.41,-2.47
"6",11.7,13.3,12.21,10.37,10.31,-2.29,6.82,4.2,-0.26,1.2
"7",23.95,33,21.37,28.3,16.21,15.37,27.28,13.39,18.15,5.82
"8",51.75,58.04,40.61,49.93,36.91,18.94,29.27,8.59,18.01,4.49
"9",21.68,21.5,19.37,19.38,19.21,-0.87,7.41,-2.7,0.08,0.42
"10",17.08,19.59,16.08,15.44,15.16,0.96,11.06,4.28,2.46,2.4
"11",15.08,17.21,16.16,14.06,13.73,-1.41,9.28,7.13,-0.34,2.13
"12",13.55,11.07,12.46,10.95,10.51,-6.6,0.5,-5.23,-3.94,-3.11
"13",22.11,19.26,19.79,20.4,19.15,-5.01,4.51,1.45,-4.63,-3.67
"14",28.56,28.76,23.84,24.45,24.26,7.17,13.72,4.47,5.6,7.99
"15",21.26,19.71,18.8,18.16,17.37,0.1,6.56,-3.62,-0.4,-0.9
"16",28.37,27.93,25.93,25.17,24.37,3.4,9.6,-2.29,0.38,0.96
"17",19.67,23.65,19.28,20.19,16.23,8.34,17.17,10.83,10.46,4.96
"18",29.26,29.47,24.98,24.61,24.91,5.54,11.14,1.08,2.55,4.4
"19",14.34,13.26,13.03,12.32,11.82,-4.34,3.98,-3.07,-2,-0.01
"20",16.3,15.27,15.1,14.3,13.95,-2.46,4.81,-2.84,-0.77,-0.97
"21",16.77,17.48,15.1,14.62,14.28,-1.1,8.03,0.95,0.62,0.67
"22",31.08,36.26,30.42,29.09,28.18,14.69,23.18,15.77,13.98,14.63
"23",21.91,20.4,22.4,20.62,19.19,-2.52,3.95,-7.19,-4.31,-4.26
"24",16.91,15.14,16.62,14.73,13.97,-6.77,3.03,-6.99,-4.93,-5.72
"25",15.21,13.95,14.07,13.03,12.03,-5.74,4.47,-4.06,-3.33,-2.2
"26",18.54,19.8,17.87,16.47,16.14,-0.82,9.19,-0.99,-0.29,-1.33
"27",20.57,21.02,19.37,18.03,17.74,-0.02,8.93,-1.76,-0.4,-1.07
"28",23.72,27,51.33,22.11,22,4.71,13.01,-26.76,3.59,5.14
"29",26.15,24.77,22.42,23.87,21.9,4.12,9.62,1.9,-1.01,-0.4
"30",17.38,21.52,38.62,16.22,16.36,2.85,12.59,-21.72,3.49,4.06
"31",11.98,11.14,10.35,10.13,9.65,-4.64,3.63,1.61,-2.75,-1.58
"32",11.43,11.96,10.84,9.98,9.57,-3.93,6.13,4.18,-1.66,-0.13
"33",16.52,14.41,14.42,14.98,13.86,-5.02,1.97,-2.47,-4.01,-2.13
"34",18.91,16.52,19.03,15.84,15.56,-4.86,1.61,-8.7,-3.69,-4.35
"35",14.76,13.03,12.81,13.03,11.98,-5.95,2.38,-1.67,-3.69,-2.21
"36",33.99,31.31,25.16,32.1,25.01,15.43,17.28,6.42,14.67,7.63
"37",20.34,19.96,17.82,17.27,17.2,-1.34,7.76,-1.66,-1.35,-1.29
"38",17.43,19.79,18.29,16.34,16.31,-1.01,9.57,5.98,0.59,0.95
"39",22.89,24.49,19.51,21.29,19.76,5.76,12.69,1.02,5.13,5.2
"40",34.87,36.59,29.95,31.47,30.11,11.69,18.49,9.16,9.77,10.89
"41",13.51,11.86,11.33,11.92,10.91,-4.36,3.57,-0.88,-2.68,-1.34
"42",19.99,21.8,20.63,19.64,18.07,3.57,10.3,-0.86,5.42,3.83
"43",9.25,11.32,9.47,8.43,9.86,-2.45,6.54,3.38,0.75,-3.87
"44",16.86,17.26,16.79,15.87,15,-2.52,5.53,3.41,-2.54,0.21
"45",15.25,15.22,13.5,13.31,12.83,-2,6.35,-1.36,-0.86,-1.33
"46",14.93,12.9,13.21,13.36,12.39,-3.98,4.32,-0.2,-1.35,0.22
"47",22.01,26.33,19.14,25.13,21.86,13.17,20.2,7.69,17.09,14.5
"48",21.77,17.8,19.46,20.6,18.45,-7.14,1.48,-3.04,-6.09,-3.19
"49",32.73,28.59,29.8,31.21,22.84,7.75,4.22,-13.45,2.37,-2.43
"50",23.03,29.06,18.3,26.65,16.56,12.8,21.63,7.79,17.26,4.83
"51",27.83,27.65,24.04,24.32,23.59,4.12,11.76,-1.08,2.09,2.06
"52",22.77,23.55,19.39,22.83,17.36,6.77,13.76,-1.02,7.43,3.81
"53",11.26,12.84,10.69,10.41,9.94,-3.65,7.33,4.88,-1.93,-0.49
"54",16.5,19.15,15.27,15.67,16.05,2.78,11.48,4.61,5.02,6.85
"55",12.93,17.62,15.04,13.71,11.67,3.97,13.15,10.03,6.9,2.97
"56",16.09,15.54,16.11,13.91,13.48,-5.72,4.48,-5.59,-3.29,-4.7
"57",14.82,14.3,14.49,12.68,11.88,-5.49,4.45,-4.79,-2.51,-1.59
"58",23.97,28.13,18.25,25.25,17.31,12.46,19.98,6.7,15.61,6.26
"59",19.32,21.07,19.05,17.76,16.66,-0.99,9.62,-0.07,1.23,0.69
"60",25.85,27.33,22.4,23.12,22.75,4.62,12.45,-0.18,3.56,5.27
"61",21.17,25.7,20.23,22.54,20.02,9.9,18.27,7.51,13.15,10.81
"62",16.08,21.71,17.72,17.06,13.78,5.85,16.24,11.93,9.19,4.67
"63",30.86,34.22,27.77,27.16,27.9,5.01,14.19,2.94,3.15,7.07
"64",20.07,19.71,16.12,17.43,16.33,3.32,9.65,0.32,4.29,3.99
"65",26,24.62,24.51,26.58,21.25,1.46,5.5,-11.76,0.57,-5.62
"66",17.64,18.09,15.03,15.33,14.84,-0.07,8.66,0.68,0.65,0.56
"67",12.43,14.4,13.19,11.56,11.48,-1.9,7.9,5.35,0.79,2.08
"68",15.8,16.77,14.72,13.78,13.61,-3.49,6.97,1.41,-2,-1.55
"69",16.05,17.7,14.76,15.29,14.53,0.63,10.07,3.61,2.07,2.36
"70",15.78,14.9,14.58,14.8,13.14,-2.17,5.96,-3.77,-2.04,-2.69
"71",26.15,23.91,24.75,22.61,21.92,-0.96,3.17,-5.56,-2.51,-0.27
"72",23.58,22.41,21.97,20.55,19.96,-0.66,6.21,-5.48,-0.68,-0.19
