"","RMSE.Dh.Engerer2","RMSE.Dh.Starke2","RMSE.Dh.Starke3","RMSE.Dh.Yang4","RMSE.Dh.Yang5","MBE.Dh.Engerer2","MBE.Dh.Starke2","MBE.Dh.Starke3","MBE.Dh.Yang4","MBE.Dh.Yang5"
"1",38.84,39.54,37.3,31.31,32.29,5.28,-10.33,6.78,1.57,-1.79
"2",47.2,58.52,49.01,50.87,38.72,-20.45,-41.57,-33.84,-26.06,-14.04
"3",41.53,43.96,40.65,35.03,34.56,7.88,-19.5,-14.5,1.26,-1.96
"4",48.65,44.34,42.24,36.51,38.96,21.2,-9.31,1.78,8.21,7.19
"5",53.64,46.23,43.49,42.85,43.05,24.76,-4.5,6.02,15.99,14.19
"6",38.1,40.98,37.38,33.15,32.97,6.81,-19.18,-10.71,0.09,-2.7
"7",28.51,37.79,23.19,33.76,18.48,-15.59,-27.82,-12.39,-20.2,-2.17
"8",40.98,44.88,31.75,39.99,29.3,-13.62,-20.2,-3.66,-13.22,-1.89
"9",34.73,35.49,30.97,30.46,30.38,-1.74,-14.62,2.03,-3.76,-3.1
"10",36.68,40.49,31.43,32.36,31.33,-2.82,-21.47,-7.11,-5.94,-4.38
"11",39.68,44.45,40.87,36.21,35.25,2.91,-22.61,-17.09,0,-4.88
"12",43.92,35.7,40.87,33.76,34.2,19.57,0.22,17.64,10.36,10.23
"13",43.61,42.17,39.96,38.32,37.17,6.03,-13.36,-8.22,4.17,4.16
"14",32.3,31.78,24.68,27.12,26.53,-7.88,-14.08,-4.48,-6.57,-8.05
"15",34.95,29.99,32.58,28.62,29.46,5.05,-3.59,12.09,5.34,7.49
"16",31.44,30.01,26.62,27.25,26.49,-3.59,-9.77,2.83,-1.22,-0.56
"17",36.24,40.98,33.44,36.9,30.85,-11.08,-26.01,-15.66,-16.62,-3.24
"18",36.56,35.99,30.45,30.48,30.85,-6.43,-11.85,0.24,-3.82,-4.68
"19",40.12,37.59,35.87,33.13,32.95,10.21,-10.36,9.02,3.07,-0.18
"20",36.6,32.08,33.01,30.61,31.28,7.15,-7.37,9.24,2.83,5.15
"21",37.43,39.24,32.43,31.98,31.77,1.41,-16.67,-1.38,-2.9,-1.19
"22",33.23,36.21,28.43,30.64,28.62,-14.62,-21.83,-13.8,-13.91,-13.69
"23",33.98,31.29,33.23,31.11,29.82,2.82,-6.15,11.08,5.73,6.93
"24",43.62,42.52,42.6,36.76,36.09,13.38,-9.63,15.39,8.34,12.43
"25",44.32,43.83,41.51,37.03,35.64,13.04,-13.56,10.22,6.04,4.74
"26",36.34,37.11,32.88,31.47,31.15,1.56,-15.57,3.52,-0.32,3.28
"27",34.96,33.95,31.05,29.93,29.68,0.22,-12.84,4.43,-0.11,2.54
"28",34.17,35.51,76.98,31,30.13,-2.77,-13.12,39.32,-1.63,-2.92
"29",32.15,29.21,26.25,29.92,27.82,-2.4,-8.69,0.21,4.01,4.52
"30",35.88,42.04,79.24,32.43,32.61,-5.49,-23.19,39.77,-7.14,-7.15
"31",55.52,46.46,42.26,44.85,43.72,24.16,-9.32,-1.96,15.99,12.64
"32",43.41,45.26,40.75,36.63,35.82,13.57,-21.83,-14.44,4.44,0.57
"33",34.92,29.93,28.48,30.94,29.23,8.79,-3.76,4.56,6.76,4.66
"34",38.23,34.74,38.31,30.45,31.39,6.76,-3.97,15.82,4.28,7.11
"35",38.06,33.93,31.06,32.42,30.77,12.87,-6.17,2.94,6.95,5.31
"36",31.68,28.01,21.69,29.65,22.6,-11.64,-12.58,-3.4,-11.27,-3.55
"37",33.9,32.88,28.42,27.91,28.37,1.47,-11.71,3.17,1.34,2.39
"38",39.32,42.59,38.48,35.48,35.45,2.77,-18.93,-11.11,-1.45,-0.43
"39",31.56,33.08,24.73,29.44,26.46,-8.65,-16.78,-1.82,-8.45,-7.15
"40",32.63,33.79,26.34,29.62,27.44,-10.44,-16.36,-8.15,-9.41,-9.39
"41",39.39,35.84,32.47,33.02,32.12,9.82,-9.66,1.45,4.89,3.08
"42",37.24,34.71,38.56,32.77,32.17,4,-6.7,13.85,-0.34,4.62
"43",42.15,44.91,39.33,35.58,50.03,14.22,-20.38,-7.79,-0.07,23.84
"44",37.13,36.43,35.61,34.65,32.75,4.45,-10.71,-6.18,4.69,0.04
"45",34.99,34.75,29.17,29.95,29.18,2.54,-13.53,2.99,0.28,2.77
"46",35.95,32.71,29.24,30.11,29.93,7.86,-12.96,-2.67,-0.1,-2.14
"47",32.76,35.45,28.67,35.71,29.77,-9.81,-20.13,0.51,-17.52,-11.08
"48",44.45,41.3,39.37,40.04,38.36,9.94,-8.43,-0.13,6.09,1.51
"49",25.39,22.02,23.99,23.93,18.68,-3.15,-0.52,12.42,0.64,5.14
"50",35.2,43.19,25.6,41.57,23.54,-18.21,-29,-9.96,-25.84,-4.72
"51",33.11,32.86,26.76,28.5,27.44,-6.07,-14.25,0.24,-4.58,-3.2
"52",31.86,32.06,26.16,31.34,23.69,-6.71,-14.79,4.22,-8.61,-0.36
"53",68.68,71.32,57.87,64.2,60.76,21.36,-38.08,-23.87,11.45,5.34
"54",38.85,38.8,32.67,34.39,34.79,1.61,-16.87,-0.79,-4.21,-6.47
"55",40.88,50.94,43.69,42.1,37.69,-6.42,-32.7,-24.62,-16.07,-1.2
"56",42.38,43.23,41.85,35.73,35.42,11.94,-12.33,12.88,5.34,10.7
"57",42.62,43.34,40.93,36.23,34.92,12.29,-12.95,12.11,4.08,3.45
"58",33.7,38.61,23.37,35.64,22.52,-15.86,-24.55,-7.77,-20.81,-5.89
